"""Valores Recolhidos por Distribuidora - Art. 3º da Lei 8.685/93 - Em Reais (R$) - 2002 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Estrangeira Representada""";"""Empresa Brasileira """;"""Valor (R$)"""
"""2003""";"""TF1 INTERNATIONAL""";"""ART FILMS S/A""";"""10949,16"""
"""2003""";"""TRUST FILM SALES2 APS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""9040,5"""
"""2003""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""1014990,62"""
"""2003""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""VIDEOLAR S/A""";"""269964,03"""
"""2003""";"""WARNER BROS. DISTRIBUTING INC.""";"""TVSBT CANAL 4 DE SÃO PAULO S/A""";"""4566597,53"""
"""2003""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""5910726,01"""
"""2002""";"""EBA FILMS INTERNATIONAL LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""238833,47"""
"""2002""";"""ESR FILMS LTD""";"""CONSORCIO EUROPA""";"""179890,55"""
"""2002""";"""PASATIEMPO PICTURES LLC""";"""CONSORCIO EUROPA""";"""13369,68"""
"""2002""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""SONY PICTURES HOME ENTERTAINMENT DO BRASIL LTDA""";"""123443,84"""
"""2002""";"""WARNER BROS. DISTRIBUTING INC.""";"""TVSBT CANAL 4 DE SÃO PAULO S/A""";"""346488,46"""
"""2002""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""781175,5"""
;;;
"""Fonte: ANCINE (Superintendência de Fomento - SFO).""";;;
"""2017: Sistema de Arrecadação de Benefícios Fiscais (SABF) em 16/04/2018.""";;;
"""2016: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 19/04/2017.""";;;
"""2015: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 06/05/2016.""";;;
"""2002 a 2014: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 28/09/2015.""";;;
;;;
"""Os valores disponíveis nesse arquivo são valores correntes do ano de referência.""";;;
;;;
"""Elaboração: Coordenação do Observatório do Cinema e do Audiovisual. Publicado em 04/06/2018.""";;;
